유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg),추천 점수
에스프레소,카푸치노,Short,O,90.0,7.0,5.0,60.0,75.0,2.5,0
에스프레소,카푸치노,Tall,O,110.0,8.0,6.0,70.0,3.0,75.0,0
에스프레소,카푸치노,Grande,O,140.0,9.0,7.0,85.0,4.0,150.0,0
에스프레소,카푸치노,Venti,O,180.0,13.0,10.0,115.0,5.0,150.0,0
에스프레소,스타벅스 돌체 라떼,Short,O,140.0,21.0,8.0,120.0,1.3,75.0,0
에스프레소,스타벅스 돌체 라떼,Tall,O,215.0,32.0,12.0,190.0,2.0,150.0,0
에스프레소,스타벅스 돌체 라떼,Grande,O,285.0,42.0,15.0,240.0,2.6,225.0,0
에스프레소,스타벅스 돌체 라떼,Venti,O,360.0,53.0,20.0,310.0,3.2,300.0,0
에스프레소,아이스 스타벅스 돌체 라떼,Tall,O,190.0,28.0,10.0,140.0,2.0,150.0,0
에스프레소,아이스 스타벅스 돌체 라떼,Grande,O,255.0,38.0,13.0,190.0,2.6,225.0,0
에스프레소,아이스 스타벅스 돌체 라떼,Venti,O,310.0,45.0,15.0,220.0,3.2,300.0,0
에스프레소,아이스 카페 라떼,Tall,O,110.0,8.0,6.0,75.0,3.5,75.0,0
에스프레소,아이스 카페 라떼,Grande,O,150.0,10.0,8.0,95.0,4.5,150.0,0
에스프레소,아이스 카페 라떼,Venti,O,210.0,15.0,11.0,135.0,6.0,150.0,0
에스프레소,카페 라떼,Short,O,110.0,8.0,6.0,70.0,3.5,75.0,0
에스프레소,카페 라떼,Tall,O,180.0,13.0,10.0,115.0,5.0,75.0,0
에스프레소,카페 라떼,Grande,O,220.0,16.0,12.0,140.0,7.0,150.0,0
에스프레소,카페 라떼,Venti,O,290.0,21.0,16.0,190.0,9.0,150.0,0
에스프레소,아이스 카페 모카,Tall,O,250.0,21.0,7.0,70.0,8.0,95.0,0
에스프레소,아이스 카페 모카,Grande,O,330.0,28.0,9.0,85.0,10.0,175.0,0
에스프레소,아이스 카페 모카,Venti,O,430.0,39.0,13.0,115.0,12.0,180.0,0
에스프레소,아이스 화이트 초콜릿 모카,Tall,O,300.0,31.0,8.0,150.0,10.0,75.0,0
에스프레소,아이스 화이트 초콜릿 모카,Grande,O,405.0,42.0,10.0,200.0,14.0,150.0,0
에스프레소,아이스 화이트 초콜릿 모카,Venti,O,460.0,50.0,12.0,230.0,14.0,150.0,0
에스프레소,카페 모카,Short,O,200.0,17.0,7.0,65.0,6.0,90.0,0
에스프레소,카페 모카,Tall,O,290.0,25.0,10.0,105.0,9.0,95.0,0
에스프레소,카페 모카,Grande,O,360.0,32.0,13.0,125.0,10.0,175.0,0
에스프레소,카페 모카,Venti,O,450.0,41.0,17.0,170.0,12.0,180.0,0
에스프레소,화이트 초콜릿 모카,Short,O,235.0,24.0,7.0,130.0,7.0,75.0,0
에스프레소,화이트 초콜릿 모카,Tall,O,350.0,37.0,11.0,200.0,10.0,75.0,0
에스프레소,화이트 초콜릿 모카,Grande,O,445.0,47.0,14.0,250.0,13.0,150.0,0
에스프레소,화이트 초콜릿 모카,Venti,O,550.0,60.0,18.0,320.0,15.0,150.0,0
에스프레소,아이스 플랫 화이트,Tall,O,120.0,9.0,6.0,90.0,3.5,130.0,0
에스프레소,아이스 플랫 화이트,Grande,O,165.0,12.0,8.0,120.0,4.7,195.0,0
에스프레소,아이스 플랫 화이트,Venti,O,185.0,13.0,9.0,140.0,5.0,195.0,0
에스프레소,플랫 화이트,Short,O,105.0,7.0,5.0,75.0,3.0,130.0,0
에스프레소,플랫 화이트,Tall,O,170.0,13.0,8.0,130.0,5.0,130.0,0
에스프레소,플랫 화이트,Grande,O,250.0,19.0,12.0,190.0,7.0,195.0,0
에스프레소,플랫 화이트,Venti,O,320.0,24.0,16.0,240.0,10.0,195.0,0
에스프레소,바닐라 스타벅스 더블 샷,One Size,O,125.0,14.0,2.0,30.0,4.5,150.0,0
에스프레소,에스프레소,Solo,X,5.0,0.0,0.0,0.0,0.0,75.0,0
에스프레소,에스프레소,Doppio,X,10.0,0.0,1.0,0.0,0.0,150.0,0
에스프레소,커피 스타벅스 더블 샷,One Size,O,125.0,14.0,2.0,30.0,4.5,150.0,0
에스프레소,헤이즐넛 스타벅스 더블 샷,One Size,O,125.0,14.0,2.0,30.0,4.5,150.0,0
프라푸치노,더블 에스프레소 칩 프라푸치노,Tall,O,225.0,18.0,4.0,170.0,13.0,130.0,0
프라푸치노,더블 에스프레소 칩 프라푸치노,Grande,O,320.0,27.0,5.0,260.0,19.0,130.0,0
프라푸치노,더블 에스프레소 칩 프라푸치노,Venti,O,385.0,34.0,6.0,320.0,19.0,260.0,0
