유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg)
에스프레소,카페 모카,Short,O,200,17,7,65,6,90
에스프레소,카페 모카,Tall,O,290,25,10,105,9,95
에스프레소,카페 모카,Grande,O,360,32,13,125,10,175
에스프레소,카페 모카,Venti,O,450,41,17,170,12,180
에스프레소,화이트 초콜릿 모카,Short,O,235,24,7,130,7,75
에스프레소,화이트 초콜릿 모카,Tall,O,350,37,11,200,10,75
에스프레소,화이트 초콜릿 모카,Grande,O,445,47,14,250,13,150
에스프레소,화이트 초콜릿 모카,Venti,O,550,60,18,320,15,150
에스프레소,아이스 플랫 화이트,Tall,O,120,9,6,90,3.5,130
에스프레소,아이스 플랫 화이트,Grande,O,165,12,8,120,4.7,195
에스프레소,아이스 플랫 화이트,Venti,O,185,13,9,140,5,195
에스프레소,플랫 화이트,Short,O,105,7,5,75,3,130
에스프레소,플랫 화이트,Tall,O,170,13,8,130,5,130
에스프레소,플랫 화이트,Grande,O,250,19,12,190,7,195
에스프레소,플랫 화이트,Venti,O,320,24,16,240,10,195
에스프레소,바닐라 스타벅스 더블 샷,One Size,O,125,14,2,30,4.5,150
에스프레소,에스프레소,Solo,X,5,0,0,0,0,75
에스프레소,에스프레소,Doppio,X,10,0,1,0,0,150
에스프레소,커피 스타벅스 더블 샷,One Size,O,125,14,2,30,4.5,150
에스프레소,헤이즐넛 스타벅스 더블 샷,One Size,O,125,14,2,30,4.5,150
프라푸치노,더블 에스프레소 칩 프라푸치노,Tall,O,225,18,4,170,13,130
프라푸치노,더블 에스프레소 칩 프라푸치노,Grande,O,320,27,5,260,19,130
프라푸치노,더블 에스프레소 칩 프라푸치노,Venti,O,385,34,6,320,19,260
프라푸치노,제주 말차 크림 프라푸치노,Tall,O,215,20,5,170,7,60
프라푸치노,제주 말차 크림 프라푸치노,Grande,O,305,29,7,250,10,90
